Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-06,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-07,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-10,4000.000000,4060.000000,3970.000000,4040.000000,3930.241699,222522800
2019-06-11,4010.000000,4060.000000,4000.000000,4020.000000,3910.784912,88861700
2019-06-12,3880.000000,3950.000000,3840.000000,3940.000000,3940.000000,134724400
2019-06-13,3940.000000,3990.000000,3900.000000,3990.000000,3990.000000,115734700
2019-06-14,4020.000000,4050.000000,3990.000000,4000.000000,4000.000000,20151100
