Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,129.899994,130.179993,129.350006,129.770004,129.291412,16324200
2019-04-30,129.809998,130.699997,129.389999,130.600006,130.118362,24166500
2019-05-01,130.529999,130.649994,127.699997,127.879997,127.408379,26821700
2019-05-02,127.980003,128.000000,125.519997,126.209999,125.744537,27350200
2019-05-03,127.360001,129.429993,127.250000,128.899994,128.424606,24911100
2019-05-06,126.389999,128.559998,126.110001,128.149994,127.677376,24239800
2019-05-07,126.459999,127.180000,124.220001,125.519997,125.057083,36017700
2019-05-08,125.440002,126.370003,124.750000,125.510002,125.047127,28419000
2019-05-09,124.290001,125.790001,123.570000,125.500000,125.037155,27235800
2019-05-10,124.910004,127.930000,123.820000,127.129997,126.661148,30915100
2019-05-13,124.110001,125.550003,123.040001,123.349998,122.895088,33944900
2019-05-14,123.870003,125.879997,123.699997,124.730003,124.270004,25266300
2019-05-15,124.260002,126.709999,123.699997,126.019997,126.019997,24722700
2019-05-16,126.750000,129.380005,126.459999,128.929993,128.929993,30112200
2019-05-17,128.309998,130.460007,127.919998,128.070007,128.070007,25770500
2019-05-20,126.519997,127.589996,125.760002,126.220001,126.220001,23706900
2019-05-21,127.430000,127.529999,126.580002,126.900002,126.900002,15293300
2019-05-22,126.620003,128.240005,126.519997,127.669998,127.669998,15396500
2019-05-23,126.199997,126.290001,124.739998,126.180000,126.180000,23603800
2019-05-24,126.910004,127.419998,125.970001,126.239998,126.239998,14114400
